description,category
YouTube Premium order 5800,SUBSCRIPTIONS
Swiggy POS 8464,RESTAURANTS
Flip cart online,SHOPPING
Bharat Petroleum GPay txn 3946,FUEL
Dominos NEFT 513,RESTAURANTS
Coursera 1216.81 INR,EDUCATION
Spotify POS 7436,ENTERTAINMENT
Paycheck #3075,INCOME
Indian Coffee House UPI 977,RESTAURANTS
HDFC Payroll 5872.71,INCOME
Air India Mumbai,TRAVEL
Gaana 6442.65 INR,ENTERTAINMENT
RedBus 7414.86,TRANSPORT
AWS Subscription order 235,SUBSCRIPTIONS
ICICI Bank 598.96 INR,BANKING
Landlord POS 1594,RENT
Blinkit +tax 8722.22,GROCERIES
Vistara order 2383,TRAVEL
Amazon.in POS 7167,SHOPPING
ICICI Payroll UPI 3958,INCOME
Gaana online,ENTERTAINMENT
UpGrad Bangalore,EDUCATION
Cafe Coffee Day GPay txn 6721,RESTAURANTS
Headspace online,SUBSCRIPTIONS
Dominos NEFT 6252,RESTAURANTS
College Fee 8713.16 INR,EDUCATION
YouTube Premium -promo,SUBSCRIPTIONS
Cafe Coffee Day IN,RESTAURANTS
HPCL Fuel ACH 6465,FUEL
NestAway -promo,RENT
Blinkit Mumbai,GROCERIES
Amazon Prime Video GPay txn 2367,ENTERTAINMENT
Zepto NEFT 7180,GROCERIES
Reliance Fuel order 7110,FUEL
Haldirams POS 5767,RESTAURANTS
Spotify 1919.67,ENTERTAINMENT
NestAway -promo,RENT
Tanishq -promo,SHOPPING
GoFirst 7990.36,TRAVEL
Nature's Basket 6520.31,GROCERIES
UpGrad -promo,EDUCATION
Axis Bank -promo,BANKING
Airtel Fiber GPay txn 8460,UTILITIES
OYO Rooms ACH 9055,TRAVEL
Headspace IN,SUBSCRIPTIONS
Vistara 3479.51 INR,TRAVEL
ICICI Payroll +tax 741.42,INCOME
Sharekhan -promo,INVESTMENT
Mahanagar Gas +tax 9378.31,UTILITIES
Apollo Clinic Mumbai,HEALTH
Swggy NEFT 2783,RESTAURANTS
Great Learning ACH 9770,EDUCATION
Sony LIV IN,ENTERTAINMENT
Grocery Market +tax 4100.95,GROCERIES
UpGrad Bangalore,EDUCATION
OLA order 2735,TRANSPORT
HDFC NEFT 2022,BANKING
Apollo Clinic order 7627,HEALTH
Bharat Petroleum 9806.04 INR,FUEL
Reliance Fresh POS 5859,GROCERIES
MakeMyTrip Mumbai,TRAVEL
Bharat Petroleum online,FUEL
Ola POS 4345,TRANSPORT
Great Learning order 518,EDUCATION
Flipkart POS 7067,SHOPPING
BESCOM Mumbai,UTILITIES
Reliance Fresh GPay txn 7424,GROCERIES
Sharekhan ACH 2004,INVESTMENT
SIP Investment ACH 3120,INVESTMENT
Blinkit 2924.71 INR,GROCERIES
Uber Mumbai,TRANSPORT
Croma UPI 2003,SHOPPING
GoFirst 7719.04,TRAVEL
MSEB Electricity NEFT 6497,UTILITIES
Dropbox plan GPay txn 9669,SUBSCRIPTIONS
BWSSB Water ACH 8248,UTILITIES
Apollo Clinic IN,HEALTH
YouTube Premium 5048.79 INR,SUBSCRIPTIONS
SBI Bank IN,BANKING
Air India Bangalore,TRAVEL
Airport Taxi NEFT 7015,TRANSPORT
Vistara POS 567,TRAVEL
Indian Coffee House Mumbai,RESTAURANTS
Great Learning 5184.67,EDUCATION
Unacademy online,EDUCATION
Groww GPay txn 1167,INVESTMENT
Reliance Fresh 3745.36 INR,GROCERIES
HPCL Fuel order 3134,FUEL
ICICI Payroll Bangalore,INCOME
Sharekhan ACH 8950,INVESTMENT
Indian Oil -promo,FUEL
Ola Bangalore,TRANSPORT
Paycheck ACH 5944,INCOME
Cult.fit Mumbai,SUBSCRIPTIONS
Rent Payment GPay txn 7679,RENT
IRCTC order 2842,TRANSPORT
OLA order 1180,TRANSPORT
Prime Music 4442.86,ENTERTAINMENT
Angel One Bangalore,INVESTMENT
Myntra NEFT 7607,SHOPPING
Indian Coffee House Bangalore,RESTAURANTS
ICICI Payroll online,INCOME
BESCOM IN,UTILITIES
Paycheck #9113,INCOME
HPCL Fuel IN,FUEL
Employer Inc UPI 6174,INCOME
Hotel Booking Mumbai,TRAVEL
Nature's Basket -promo,GROCERIES
Bharat Petroleum online,FUEL
ICICI Payroll 9845.42 INR,INCOME
Dropbox plan IN,SUBSCRIPTIONS
Reliance Fuel IN,FUEL
MSEB Electricity NEFT 2966,UTILITIES
Landlord order 1389,RENT
Groww #8241,INVESTMENT
1mg Pharmacy 1145.20 INR,HEALTH
Paycheck GPay txn 4471,INCOME
Mutual Fund IN,INVESTMENT
BESCOM ACH 8395,UTILITIES
Groww ACH 9993,INVESTMENT
AWS Subscription 9766.78 INR,SUBSCRIPTIONS
Employer Inc 1856.63 INR,INCOME
Zepto 9509.12 INR,GROCERIES
Spotify 3301.32,ENTERTAINMENT
NoBroker Rent Bangalore,RENT
Reliance Fuel Mumbai,FUEL
1mg Pharmacy ACH 1190,HEALTH
Croma UPI 5488,SHOPPING
HPCL Fuel IN,FUEL
ICICI Payroll POS 894,INCOME
Grocery Market 6026.13 INR,GROCERIES
BigBasket IN,GROCERIES
Ola 912.30,TRANSPORT
Pharmeasy NEFT 424,HEALTH
Myntra.com ACH 539,SHOPPING
Haldirams -promo,RESTAURANTS
Employer Inc online,INCOME
More Supermarket Bangalore,GROCERIES
Reliance Fresh GPay txn 5923,GROCERIES
Myntra IN,SHOPPING
Pharmeasy -promo,HEALTH
AWS Subscription Mumbai,SUBSCRIPTIONS
Sharekhan Mumbai,INVESTMENT
OLA order 5770,TRANSPORT
Grocery Market #4937,GROCERIES
Indian Coffee House #5719,RESTAURANTS
Doctor Visit ACH 356,HEALTH
Reliance Fuel Mumbai,FUEL
Grocery Market order 4354,GROCERIES
School Payment IN,EDUCATION
IndiGo Mumbai,TRAVEL
Tanishq #4731,SHOPPING
Croma GPay txn 1389,SHOPPING
Unacademy NEFT 209,EDUCATION
Headspace Mumbai,SUBSCRIPTIONS
Rent Payment #3769,RENT
HDFC -promo,BANKING
BookMyShow POS 9183,ENTERTAINMENT
JioFiber Mumbai,UTILITIES
Headspace #4680,SUBSCRIPTIONS
HDFC Payroll #5062,INCOME
Apollo Clinic -promo,HEALTH
Motilal Oswal ACH 5826,INVESTMENT
Landlord Bangalore,RENT
Amazon Prime Video -promo,ENTERTAINMENT
Flipkart ACH 3421,SHOPPING
Cafe Coffee Day Bangalore,RESTAURANTS
Coursera GPay txn 2875,EDUCATION
Kotak Bank online,BANKING
Reliance Fresh 7084.22,GROCERIES
Sviggy 4078.00,RESTAURANTS
Motilal Oswal ACH 7335,INVESTMENT
Employer Inc UPI 4653,INCOME
Myntra Bangalore,SHOPPING
Vistara ACH 7604,TRAVEL
Dominos ACH 1619,RESTAURANTS
IndiGo online,TRAVEL
Fortis Hospital ACH 4349,HEALTH
BWSSB Water -promo,UTILITIES
Nature's Basket Bangalore,GROCERIES
Cafe Coffee Day online,RESTAURANTS
Canva Pro IN,SUBSCRIPTIONS
Bharat Petroleum GPay txn 1463,FUEL
Apollo Clinic Mumbai,HEALTH
Rapido 2540.92 INR,TRANSPORT
1mg Pharmacy UPI 3905,HEALTH
Employer Inc online,INCOME
Vistara GPay txn 8057,TRAVEL
Apartment Dues IN,RENT
Airtel Fiber -promo,UTILITIES
Nykaa order 4246,SHOPPING
Nature's Basket ACH 7151,GROCERIES
Spotify UPI 832,ENTERTAINMENT
Blinkit POS 7744,GROCERIES
Uber order 8729,TRANSPORT
Cult.fit UPI 1797,SUBSCRIPTIONS
Myntra #1755,SHOPPING
Udemy GPay txn 6625,EDUCATION
SIP Investment -promo,INVESTMENT
YouTube Premium ACH 9089,SUBSCRIPTIONS
Coursera +tax 5691.28,EDUCATION
Indian Oil POS 8397,FUEL
BigBasket 9487.50,GROCERIES
Reliance Fuel Bangalore,FUEL
RedBus GPay txn 9170,TRANSPORT
Pharmeasy 6400.04,HEALTH
OYO Rooms 6111.48 INR,TRAVEL
Swiggy +tax 5273.52,RESTAURANTS
NoBroker Rent Mumbai,RENT
Motilal Oswal POS 560,INVESTMENT
Byju's -promo,EDUCATION
Mutual Fund Mumbai,INVESTMENT
Myntra Bangalore,SHOPPING
Air India IN,TRAVEL
Airport Taxi ACH 6509,TRANSPORT
Dropbox plan #9578,SUBSCRIPTIONS
IndianOil NEFT 3223,FUEL
Swiggy online,RESTAURANTS
BWSSB Water NEFT 923,UTILITIES
Apollo Clinic +tax 1659.38,HEALTH
AWS Subscription -promo,SUBSCRIPTIONS
Kotak Bank +tax 1529.36,BANKING
Haldirams order 9185,RESTAURANTS
Airport Taxi 7480.62,TRANSPORT
Kotak Bank POS 7969,BANKING
PVR Cinemas GPay txn 6688,ENTERTAINMENT
Blinkit +tax 2322.67,GROCERIES
BigBasket GPay txn 4827,GROCERIES
Udemy Mumbai,EDUCATION
Canva Pro 9720.51 INR,SUBSCRIPTIONS
Mahanagar Gas +tax 5543.39,UTILITIES
NestAway Mumbai,RENT
HPCL Fuel order 2553,FUEL
JioFiber NEFT 9536,UTILITIES
Blinkit IN,GROCERIES
HDFC Payroll order 5000,INCOME
Amazon Prime Video Bangalore,ENTERTAINMENT
Doctor Visit UPI 8005,HEALTH
Udemy GPay txn 8469,EDUCATION
BigBasket order 6649,GROCERIES
Gaana IN,ENTERTAINMENT
Amazon Prime Video IN,ENTERTAINMENT
Mahanagar Gas POS 1079,UTILITIES
Apollo Clinic online,HEALTH
College Fee Bangalore,EDUCATION
Cafe Coffee Day Bangalore,RESTAURANTS
Salary Credit IN,INCOME
Ajio Bangalore,SHOPPING
Canva Pro ACH 9221,SUBSCRIPTIONS
Canva Pro Mumbai,SUBSCRIPTIONS
MSEB Electricity 2233.76,UTILITIES
Bharat Petroleum Mumbai,FUEL
Uber 2103.61 INR,TRANSPORT
Zomato Mumbai,RESTAURANTS
HDFC Bank NEFT 5123,BANKING
JioFiber GPay txn 8345,UTILITIES
Croma Mumbai,SHOPPING
Coursera -promo,EDUCATION
MSEB Electricity NEFT 2203,UTILITIES
BookMyShow 8067.43,ENTERTAINMENT
NoBroker Rent order 4116,RENT
IndianOil -promo,FUEL
Disney+ Hotstar order 1828,ENTERTAINMENT
Swiggy online,RESTAURANTS
SBI Bank Bangalore,BANKING
Myntra online,SHOPPING
Kotak Bank ACH 9179,BANKING
NestAway 2343.63,RENT
HDFC Bank 2959.82,BANKING
Angel One 1301.90,INVESTMENT
NoBroker Rent Mumbai,RENT
Rent Payment -promo,RENT
BookMyShow GPay txn 1987,ENTERTAINMENT
Croma POS 3586,SHOPPING
Apartment Dues ACH 5880,RENT
Doctor Visit NEFT 2622,HEALTH
Airtel Fiber 6759.57,UTILITIES
Indian Coffee House Mumbai,RESTAURANTS
Flipkart IN,SHOPPING
Rent Payment Mumbai,RENT
Canva Pro IN,SUBSCRIPTIONS
Mutual Fund UPI 488,INVESTMENT
Groww UPI 2270,INVESTMENT
Paycheck online,INCOME
SBI Bank POS 5871,BANKING
Uber ACH 9913,TRANSPORT
Ajio Bangalore,SHOPPING
Employer Inc #1161,INCOME
Spotify Bangalore,ENTERTAINMENT
Disney+ Hotstar order 4867,ENTERTAINMENT
AWS Subscription +tax 7407.46,SUBSCRIPTIONS
ICICI Payroll 8839.89 INR,INCOME
Reliance Fuel online,FUEL
Landlord UPI 1810,RENT
Canva Pro -promo,SUBSCRIPTIONS
BESCOM NEFT 3785,UTILITIES
Zerodha UPI 8766,INVESTMENT
Headspace 8897.88 INR,SUBSCRIPTIONS
Pharmeasy +tax 4996.74,HEALTH
Tanishq 949.40 INR,SHOPPING
Amazon India 7407.25 INR,SHOPPING
YouTube Premium order 2748,SUBSCRIPTIONS
Landlord online,RENT
Rent Payment 4356.21,RENT
JioFiber -promo,UTILITIES
Pharmeasy NEFT 3915,HEALTH
Pharmeasy online,HEALTH
Hotel Booking 3910.77 INR,TRAVEL
Doctor Visit POS 446,HEALTH
Apartment Dues UPI 5888,RENT
Canva Pro GPay txn 6259,SUBSCRIPTIONS
SIP Investment IN,INVESTMENT
1mg Pharmacy online,HEALTH
MakeMyTrip NEFT 8257,TRAVEL
BigBasket order 9456,GROCERIES
HPCL Fuel order 9589,FUEL
Ola Cabs GPay txn 8302,TRANSPORT
Gaana Mumbai,ENTERTAINMENT
SIP Investment #1117,INVESTMENT
Reliance Fresh online,GROCERIES
NoBroker Rent ACH 2761,RENT
Myntra POS 565,SHOPPING
Rent Payment IN,RENT
HDFC Payroll ACH 3970,INCOME
Paycheck Bangalore,INCOME
JioFiber ACH 3320,UTILITIES
NestAway +tax 970.76,RENT
Blinkit order 5335,GROCERIES
Airport Taxi +tax 1411.98,TRANSPORT
Apollo Clinic Bangalore,HEALTH
Bharat Petroleum -promo,FUEL
Rapido POS 3180,TRANSPORT
Yatra.com 9686.71 INR,TRAVEL
Myntra -promo,SHOPPING
Employer Inc -promo,INCOME
Apartment Dues +tax 9042.97,RENT
AWS Subscription ACH 259,SUBSCRIPTIONS
Canva Pro Bangalore,SUBSCRIPTIONS
Paycheck UPI 1488,INCOME
Tanishq UPI 1950,SHOPPING
Kotak Bank online,BANKING
Cult.fit +tax 8463.26,SUBSCRIPTIONS
Airport Taxi +tax 2464.30,TRANSPORT
IndiGo #191,TRAVEL
Vistara online,TRAVEL
ICICI Bank NEFT 1781,BANKING
Nature's Basket 6186.55 INR,GROCERIES
MSEB Electricity GPay txn 236,UTILITIES
Apartment Dues Bangalore,RENT
Amazon Prime Video 5951.06,ENTERTAINMENT
Dropbox plan online,SUBSCRIPTIONS
Great Learning +tax 2586.33,EDUCATION
Nykaa #991,SHOPPING
BWSSB Water Bangalore,UTILITIES
Yatra.com IN,TRAVEL
OYO Rooms 2157.51,TRAVEL
Haldirams 6202.05 INR,RESTAURANTS
Yatra.com UPI 3641,TRAVEL
1mg Pharmacy Bangalore,HEALTH
ICICI Direct Mumbai,INVESTMENT
IRCTC Bangalore,TRANSPORT
NestAway ACH 4621,RENT
Fortis Hospital 7458.78 INR,HEALTH
IRCTC +tax 527.41,TRANSPORT
Flipkart order 5013,SHOPPING
Reliance Fuel +tax 5086.75,FUEL
More Supermarket GPay txn 3115,GROCERIES
HDFC Payroll GPay txn 4361,INCOME
Dominos Bangalore,RESTAURANTS
Barbeque Nation POS 824,RESTAURANTS
OYO Rooms Mumbai,TRAVEL
School Payment order 3315,EDUCATION
Axis Bank -promo,BANKING
Nykaa 1093.28 INR,SHOPPING
Reliance Fuel order 5075,FUEL
Mutual Fund 5356.55 INR,INVESTMENT
Zepto App #7054,GROCERIES
Zerodha Mumbai,INVESTMENT
NestAway ACH 7190,RENT
Apartment Dues 4350.68 INR,RENT
HDFC Securities 7243.92,INVESTMENT
ICICI Direct order 8087,INVESTMENT
Mutual Fund ACH 4208,INVESTMENT
Landlord UPI 7082,RENT
Dropbox plan Bangalore,SUBSCRIPTIONS
HPCL Fuel -promo,FUEL
1mg Pharmacy Mumbai,HEALTH
Fortis Hospital 286.94 INR,HEALTH
ICICI Bank GPay txn 4199,BANKING
Barbeque Nation GPay txn 5663,RESTAURANTS
MSEB Electricity Mumbai,UTILITIES
Fortis Hospital Bangalore,HEALTH
Disney+ Hotstar +tax 7866.10,ENTERTAINMENT
Apollo Clinic Bangalore,HEALTH
HDFC Payroll #1833,INCOME
